,MAE,sMAPE,rMAE
2019-07-12,5.009264233907063,11.054565400726378,0.3671471724347825
2019-07-13,2.5353360621134438,7.0484094563485815,0.28876264944344465
2019-07-14,3.862462231318156,11.421694287785254,0.327987451974793
2019-07-15,3.6479399077097585,9.580195467091496,0.6283232222264545
2019-07-16,5.495028168360393,13.31234022543368,0.9766045322915391
2019-07-17,3.684070828755697,8.008592866226126,0.7839143531353554
2019-07-18,3.4355639076232904,7.761346209925963,0.826518983389725
2019-07-19,4.680440915425618,10.393597907047445,1.760391505566758
2019-07-20,2.1226161511739092,5.628415305978673,1.800098502762325
2019-07-21,1.479201815923055,4.226748268195563,0.8288779729664559
2019-07-22,4.9552419471740725,13.401939076559197,4.287159579386364
2019-07-23,9.844984264373778,22.421617358130582,2.416441218500416
2019-07-24,7.011784394582112,13.443734589179645,1.4320723808184046
2019-07-25,5.229298960367839,10.153151325689109,0.8109011762539776
2019-07-26,5.540211340586343,12.582511080497497,2.6387194319125276
2019-07-27,2.2360592142740887,6.15073495080309,1.943695079412465
2019-07-28,3.654364770253499,10.660461511881843,1.075208464951379
2019-07-29,7.824320173263549,17.728560155635996,1.1374625002018606
2019-07-30,3.7749292627970377,8.366012674996632,0.8557504704555484
2019-07-31,7.3556553204854325,14.991807741840733,1.5101430940260936
2019-08-01,5.270063781738281,10.879682745527315,0.8246823417990398
2019-08-02,2.252685724894206,5.279113410638922,0.7581609507426862
2019-08-03,1.3795836893717446,3.50837490804115,0.44484762253018784
2019-08-04,3.8338496430714923,10.22306923719678,0.7521653840735374
2019-08-05,4.684775536855062,10.138510019023176,1.4019278414528862
2019-08-06,3.779247582753499,8.660589157299126,1.0763254062665717
2019-08-07,3.920107288360596,8.837169202509964,0.5234079272359071
2019-08-08,3.4612637646993014,8.979896242064271,0.543333967903612
2019-08-09,3.619656343460083,9.188682636702202,0.7761257236044133
2019-08-10,14.732597166697182,68.48504791110203,0.5884702205221476
2019-08-11,15.460295600891115,75.62258324357607,0.5816423344589324
2019-08-12,8.100260318120322,18.16747900920519,0.8068992970360177
2019-08-13,4.339206428527832,10.457273779438337,0.9507116513115572
2019-08-14,6.6903777694702145,15.723516687775874,0.9214867516056536
2019-08-15,4.482085084915162,12.345002117125663,0.7605347994765546
2019-08-16,4.160228751500448,10.510482380874185,0.6583074440298723
2019-08-17,4.862830282847087,19.86478238028553,0.2801505719972397
2019-08-18,1.3362914371490477,4.004383358299472,0.06365313292231095
2019-08-19,5.326224854787191,14.8161620347392,0.7415988658983151
